Total 15-24 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,15,14.6999998093,13.1999998093,11,12.8999996185,17.2999992371,18.6000003815,18,16.3999996185,14.6999998093,14.8999996185,15.5,14.5,13.1999998093,12,13.5,12.8000001907,12.1000003815,11.5,10.6999998093
Canada,12.6999998093,18.1000003815,19.1000003815,17.2000007629,15.8999996185,14.6999998093,13.1000003815,11.3999996185,10.8999996185,12.3000001907,15.6999998093,17.1000003815,17.1000003815,15.8000001907,14.8000001907,15.3999996185,16.2000007629,15.1000003815,14,12.6000003815,12.8999996185,13.6000003815,13.6000003815,13.3000001907,12.3999996185
Czech Rep.,,,,,,,,,,,,,8.5,8.6000003815,7.6999998093,7.1999998093,8.6000003815,12.3999996185,17,16.8999996185,16.6000003815,16,17.6000003815,20.2999992371,20.7000007629
Estonia,,,,,,,,,,,,,,,,,,,,23.5,21.7000007629,16.8999996185,19.5,20.7000007629,15.1000003815
Finland,9.1999998093,9.8000001907,10.5,9.8000001907,9.1000003815,9.6999998093,8.8999996185,7.8000001907,8.1000003815,8.6999998093,15,24.5,30.6000003815,31.2000007629,26.8999996185,25,23.2999992371,21.7000007629,20.2000007629,20.2999992371,18.7999992371,19.8999996185,20.6000003815,19.5,18.7999992371
France,17.5,18.7999992371,19.6000003815,23.2000007629,23.2000007629,22.2999992371,21,19.3999996185,17.5,16.6000003815,18.3999996185,20.6000003815,24,25,23.5,24.7999992371,24.8999996185,23.2999992371,21.8999996185,18.6000003815,18.1000003815,19.2000007629,21.1000003815,22.5,22.5
Germany,,,,,,,,,,,5.4000000954,6.1999998093,7.5999999046,8.1999998093,8.1999998093,9.3999996185,10.1999998093,9,8.1999998093,8.3999996185,8.1999998093,9.6000003815,11.3000001907,13.1000003815,15.1999998093
"Hong Kong, China",,,,,5.8000001907,5.5999999046,3.7000000477,3.4000000954,2.7999999523,3.2999999523,4.0999999046,4.3000001907,4.5999999046,4.5,6.8000001907,6.4000000954,5,10.3000001907,13.1999998093,10.6000003815,11.3000001907,15,15,12.1999998093,10.8000001907
Ireland,,,20.1000003815,22.2000007629,23.5,25.5,24.5,23.8999996185,20.5,17.6000003815,21.7000007629,23.1000003815,25.2000007629,23.2999992371,19.1000003815,18.2000007629,16.1000003815,11.6000003815,8.5,6.4000000954,6.0999999046,7.6999998093,7.8000001907,8.1000003815,8.3000001907
Japan,4,4.3000001907,4.5,4.9000000954,4.8000001907,5.1999998093,5.1999998093,4.9000000954,4.5,4.3000001907,4.3000001907,4.5,5.0999999046,5.5,6.0999999046,6.5999999046,6.6999998093,7.6999998093,9.1000003815,9.1999998093,9.6000003815,9.8999996185,10.1000003815,9.5,8.6999998093
"Korea, Rep.",,,,,,,,,,,,7.5,8.8999996185,7.1999998093,6.1999998093,6,7.5,15.6000003815,13.6999998093,10.6000003815,10.1000003815,8.3999996185,9.8999996185,10.3000001907,10
Latvia,,,,,,,,,,,,,,,,32.2000007629,24.7999992371,25.7000007629,24.6000003815,22.7000007629,22.2000007629,20.7000007629,18.3999996185,18,12.6999998093
Lithuania,,,,,,,,,,,,,,,,,,22.3999996185,26.5,29.1000003815,30.2000007629,22.2999992371,24.1000003815,21.7000007629,15.1000003815
Netherlands,,,,,,,14.8000001907,13.6000003815,12.1999998093,11.1999998093,10.5,7.9000000954,9.6999998093,10.3000001907,12.8000001907,11.6000003815,9,7.6999998093,6.6999998093,5.5,5.9000000954,6,7.8000001907,9.1999998093,9.5
New Zealand,,,,,,7.8000001907,8,10.8000001907,13.5,14.1000003815,18.7999992371,18.5,17.2000007629,15,11.8999996185,11.8000001907,13,14.6000003815,13.6999998093,13.1999998093,11.8000001907,11.5,10.1999998093,9.3999996185,9.3999996185
Norway,5.4000000954,7.3000001907,8.8000001907,7.3000001907,6.5,5,5.3000001907,8.1999998093,11.3000001907,11.8000001907,12.8999996185,13.6999998093,13.6000003815,12.6000003815,11.8000001907,12.3999996185,10.8999996185,9.5,9.6000003815,10.1999998093,10.6999998093,11.3999996185,11.6999998093,11.6999998093,12.1000003815
Philippines,,,,,,19.2999992371,19.2999992371,18.1000003815,18.7000007629,15.8999996185,22,14.8999996185,13.3999996185,14,14.6000003815,12.8999996185,18.5,15.8999996185,15.3999996185,19.1000003815,17.7999992371,19.1000003815,17.8999996185,18.7000007629,17.2999992371
Poland,,,,,,,,,,,,,28.2000007629,30.3999996185,29.2000007629,26.8999996185,23.3999996185,21.8999996185,29.7999992371,33.7000007629,39.5,42.5999984741,41.5999984741,39.5999984741,36.5999984741
Portugal,,,,,,,,,,,,9.6000003815,12,14.1000003815,15.6000003815,16.1000003815,14.6000003815,10.1999998093,8.6999998093,8.3999996185,9.1999998093,11.5,14.1999998093,15.1999998093,16.1000003815
Romania,,,,,,,,,,,,,,22.5,20.6000003815,20.2000007629,18,18.2999992371,18.7999992371,18.6000003815,17.5,21.7000007629,18.5,21,19.7000007629
Singapore,4.4000000954,4.1999998093,4.8000001907,4.4000000954,6.1999998093,8,6.1999998093,4.5999999046,3.4000000954,3.2000000477,3.4000000954,4.6999998093,4.9000000954,4.9000000954,4.5999999046,5.1999998093,4.4000000954,6.4000000954,6.6999998093,,6.1999998093,7.9000000954,8.3000001907,8.5,
Slovak Republic,,,,,,,,,,,,,,,,,21.7000007629,23.6000003815,32.0999984741,35.2000007629,37.2999992371,36.0999984741,32.2000007629,32,
Slovenia,,,,,,,,,,,,,24,22.7000007629,18.8999996185,19.2000007629,17.5,18.1000003815,17.8999996185,16.2000007629,15.3999996185,15.1999998093,14.6999998093,13.8000001907,15.6999998093
Spain,31.1000003815,34.7000007629,37.5,41.7999992371,43.7000007629,42.7999992371,40,37,31.8999996185,30.1000003815,28.8999996185,32.4000015259,43.0999984741,45.0999984741,42.5999984741,41.9000015259,38.9000015259,35.2000007629,29.2999992371,25.8999996185,21.1000003815,22.2999992371,22.7000007629,22,19.7000007629
Sweden,6.1999998093,7.4000000954,7.8000001907,5.8000001907,5.5999999046,5.5999999046,5.3000001907,4.0999999046,3.7999999523,4.4000000954,7.8000001907,13.6999998093,22.7000007629,22.7000007629,19.6000003815,21,21,16.7000007629,14.3000001907,11.8999996185,11.8000001907,13.3999996185,12,17.1000003815,22.2999992371
Switzerland,,,,,,,,,,,3.2000000477,4.5,6.4000000954,5.9000000954,5.5,4.5999999046,5.9000000954,5.8000001907,5.6999998093,4.8000001907,5.6999998093,5.5999999046,8.3999996185,7.6999998093,8.8999996185
Turkey,,,,,,,,,,,15.3999996185,16.2999992371,17.7999992371,16,15.6000003815,13.5,14.3000001907,14.1999998093,15,13.1000003815,16.2000007629,19.2000007629,20.5,19.6000003815,19.2999992371
United Kingdom,,,,,,,,,,,,,,,,,,,,,10.5,11,11.5,10.8999996185,11.8000001907
United States,14.3000001907,17,16.3999996185,13.3000001907,13,12.6999998093,11.6999998093,10.6000003815,10.5,10.6999998093,12.8999996185,13.6999998093,13,12.1000003815,12.1000003815,12,11.3000001907,10.3999996185,9.8999996185,9.3000001907,10.6000003815,12,12.3999996185,11.8999996185,11.3000001907
